Route__State,Region,Route_Volume,Avg_Lead_Time,Lead_Time_Variability,Delay_Frequency_StateLevel,Normalized_Lead_Time,Route_Efficiency_Score,High_performance
United States → Interior → Michigan,Interior,255,1300.5607843137254,244.05437634583737,22.35294117647059,0.32630054267776476,0.6736994573222352,False
United States → Interior → Minnesota,Interior,89,1335.4719101123596,297.6519126997336,14.606741573033707,0.3960008187918336,0.6039991812081664,False
United States → Interior → Missouri,Interior,66,1339.8636363636363,278.41479217795984,25.757575757575758,0.404768927104839,0.595231072895161,False
United States → Interior → Nebraska,Interior,38,1311.2368421052631,237.21337574639708,26.31578947368421,0.34761535733518967,0.6523846426648103,False
United States → Interior → North Dakota,Interior,7,1637.857142857143,1.4638501094227951,28.57142857142857,0.9997147848408143,0.00028521515918567,False
United States → Interior → Oklahoma,Interior,66,1301.3636363636363,241.75713409972394,25.757575757575758,0.32790344170429003,0.6720965582957099,False
United States → Interior → South Dakota,Interior,12,1395.9166666666667,360.3509547733439,8.333333333333332,0.5166791448298812,0.4833208551701188,False
United States → Interior → Texas,Interior,985,1310.3055837563452,266.72715844496076,23.451776649746193,0.3457560943475821,0.6542439056524179,False
United States → Interior → Wisconsin,Interior,110,1343.0,224.11276650403414,24.545454545454547,0.41103069628150735,0.5889693037184927,False
United States → Pacific → Arizona,Pacific,224,1309.2142857142858,263.3924395158412,22.767857142857142,0.3435773111340869,0.656422688865913,False
United States → Pacific → California,Pacific,2001,1318.4272863568217,264.3928778070295,24.03798100949525,0.36197112324795944,0.6380288767520406,False
United States → Pacific → Colorado,Pacific,182,1337.1868131868132,249.67695867370423,16.483516483516482,0.39942463326541194,0.6005753667345881,False
United States → Pacific → Idaho,Pacific,21,1342.5714285714287,273.92965728970853,23.809523809523807,0.41017505080395045,0.5898249491960496,False
United States → Pacific → Montana,Pacific,15,1273.8,308.31690561127897,26.666666666666668,0.272872473171949,0.727127526828051,True
United States → Pacific → Nevada,Pacific,39,1226.7948717948718,239.77238982080047,23.076923076923077,0.17902644730695647,0.8209735526930435,True
United States → Pacific → New Mexico,Pacific,37,1441.837837837838,267.19806568593685,10.81081081081081,0.6083610438489402,0.3916389561510598,False
United States → Pacific → Oregon,Pacific,124,1267.7096774193549,259.3676417059823,24.193548387096776,0.2607131069016319,0.739286893098368,True
United States → Pacific → Utah,Pacific,53,1253.0,289.78055357592456,24.528301886792452,0.23134514599450962,0.7686548540054904,True
United States → Pacific → Washington,Pacific,506,1360.6620553359685,272.1219630881989,23.91304347826087,0.44629309775087295,0.553706902249127,False
United States → Pacific → Wyoming,Pacific,1,1274.0,,0.0,0.2732717743948091,0.7267282256051909,False
